id_local,nom_lieu,ad_lieu,com_lieu,insee,date_maj,ouvert,source,Xlong,Ylat,num_dep,categorie_Aire de covoiturage
bfc_air_044,Aire de Pouilly sur Loire,D927 Entrée Sud de Pouilly,POUILLY-SUR-LOIRE,58215.0,2020-10-27,TRUE,200053726.0,2.97567591808006,47.272,58,TRUE
bfc_air_045,GEVREY-CHAMBERTIN,Rue de la Petite Issue 21220 Gevrey-Chambertin,GEVREY-CHAMBERTIN,21295.0,2020-10-27,TRUE,200053726.0,4.99462279840541,47.225,21,TRUE
bfc_air_046,Centre Leclerc,Route de Champvert,DECIZE,58095.0,2020-10-27,TRUE,200053726.0,3.46872165803052,46.835,58,TRUE
bfc_air_047,Parking de la Poste,7 Rue du Clos Pascal 25190 Saint-Hippolyte,SAINT-HIPPOLYTE,25519.0,2020-10-27,TRUE,200053726.0,6.81461078149026,47.319,25,TRUE
bfc_air_048,Gymnase,53 Rue Saint-Michel 25120 Maîche,MAICHE,25356.0,2020-10-27,TRUE,200053726.0,6.78947354095086,47.245,25,TRUE
bfc_air_049,Parking de La Résistance,5 Boulevard du Maréchal Joffre 90000 Belfort,BELFORT,90010.0,2020-10-27,TRUE,200053726.0,6.85555368596125,47.642,90,TRUE
bfc_air_050,Avenue des Marchandises,1 Rue du Stade 25500 Les Fins,MORTEAU,25411.0,2020-10-27,TRUE,200053726.0,6.60589062162883,47.054,25,TRUE
bfc_air_051,Gare de Labergement-Sainte-Marie,8 Grande Rue 25160 Labergement-Sainte-Marie,LABERGEMENT-SAINTE-MARIE,25320.0,2020-10-27,TRUE,200053726.0,6.28286980833219,46.774,25,TRUE
bfc_air_052,Aire de covoiturage de Arnay-Le-Duc,1 Rue de l'Arquebuse 21230 Arnay-le-Duc,ARNAY-LE-DUC,21023.0,2020-10-27,TRUE,200053726.0,4.49020098971923,47.131,21,TRUE
bfc_air_053,Stade,4 Rue du Stade 25210 Le Russey,LE RUSSEY,25512.0,2020-10-27,TRUE,200053726.0,6.71983643022789,47.157,25,TRUE
bfc_air_054,Aire de covoiturage de Orville,1 Place de la Charme 21260 Orville,ORVILLE,21472.0,2020-10-27,TRUE,200053726.0,5.21339415427666,47.565,21,TRUE
